"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1640",1,0,0,0,0
"seq1641",2,0,0,0,0
"seq1642",1,0,0,0,0
"seq1643",1,0,0,0,0
"seq1644",1,0,0,0,0
"seq1645",1,0,0,0,0
"seq1646",1,0,0,0,0
"seq1647",1,0,0,0,0
"seq1648",2,0,0,0,0
"seq1649",2,0,0,0,0
"seq165",1,0,0,0,0
"seq1650",1,0,0,0,0
"seq1651",1,0,0,0,0
"seq1652",1,0,0,0,0
"seq1653",1,0,0,0,0
"seq1654",1,0,0,0,0
"seq1655",1,0,0,0,0
"seq1656",6,0,0,0,0
"seq1657",2,0,0,0,0
"seq1658",1,0,0,0,0
"seq1659",2,0,0,0,0
"seq166",1,0,0,0,0
"seq1660",1,0,0,0,0
"seq1661",1,0,0,0,0
"seq1662",1,0,0,0,0
"seq1663",1,0,0,0,0
"seq1664",2,0,0,0,0
"seq1665",1,0,0,0,0
"seq1666",3,0,1,0,0
"seq1667",1,0,0,0,0
"seq1668",1,0,0,0,0
"seq1669",2,0,0,0,0
"seq167",1,0,0,0,0
"seq1670",1,0,0,0,0
"seq1671",1,0,0,0,0
"seq1672",1,0,0,0,0
"seq1673",1,0,0,0,0
"seq1674",3,0,0,0,0
"seq1675",1,0,0,0,0
"seq1676",1,0,0,0,0
"seq1677",1,0,0,0,0
"seq1678",1,0,0,0,0
"seq1679",1,0,0,0,0
"seq168",1,0,0,0,0
"seq1680",1,0,0,0,0
"seq1681",1,0,0,0,0
"seq1682",2,0,0,0,0
"seq1683",1,0,0,0,0
"seq1684",1,0,0,0,0
"seq1685",1,0,0,0,0
"seq1686",1,0,0,0,0
"seq1687",1,0,0,0,0
"seq1688",2,0,0,0,0
"seq1689",1,0,0,0,0
"seq169",1,0,0,0,0
"seq1690",1,0,0,0,0
"seq1691",2,0,0,0,0
"seq1692",1,0,0,0,0
"seq1693",1,0,0,0,0
"seq1694",1,0,0,0,0
"seq1695",1,0,0,0,0
"seq1696",1,0,0,0,0
"seq1697",1,0,0,0,0
"seq1698",1,0,0,0,0
