"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1323",2,0,0,0,0,0,0,0,0,0
"seq1324",1,0,0,0,0,0,0,0,0,0
"seq1325",1,0,0,0,0,0,0,0,0,0
"seq1326",1,0,0,0,0,0,0,0,0,0
"seq1327",1,0,0,0,0,0,0,0,0,0
"seq1328",1,0,0,0,0,0,0,0,0,0
"seq1329",1,0,0,0,0,0,0,0,0,0
"seq133",0,0,0,0,0,1,0,0,0,0
"seq1330",1,0,0,0,0,0,0,0,0,0
"seq1331",1,0,0,0,0,0,0,0,0,0
"seq1332",1,0,0,0,0,0,0,0,0,0
"seq1333",2,0,0,0,0,0,0,0,0,0
"seq1334",2,0,0,0,0,0,0,0,0,0
"seq1335",1,0,0,0,0,0,0,0,0,0
"seq1336",1,0,0,0,0,0,0,0,0,0
"seq1337",1,0,0,0,0,0,0,0,0,0
"seq1338",1,0,0,0,0,0,0,0,0,0
"seq1339",1,0,0,0,0,0,0,0,0,0
"seq134",0,0,0,0,1,0,0,0,0,0
"seq1340",2,0,0,0,0,0,0,0,0,0
"seq1341",1,0,0,0,0,0,0,0,0,0
"seq1342",1,0,0,0,0,0,0,0,0,0
"seq1343",1,0,0,0,0,0,0,0,0,0
"seq1344",1,0,0,0,0,0,0,0,0,0
"seq1345",1,0,0,0,0,0,0,0,0,0
"seq1346",2,0,0,0,0,0,0,0,0,0
"seq1347",0,0,0,0,0,0,1,0,0,0
"seq1348",1,0,0,0,0,0,0,0,0,0
"seq1349",1,0,0,0,0,0,0,0,0,0
"seq135",0,0,0,0,0,0,1,0,0,0
"seq1350",3,0,0,0,0,0,0,0,0,0
"seq1351",1,0,0,0,0,0,0,0,0,0
"seq1352",3,0,0,0,0,0,0,0,0,0
"seq1353",1,0,0,0,0,0,0,0,0,0
"seq1354",1,0,0,0,0,0,0,0,0,0
"seq1355",1,0,0,0,0,0,0,0,0,0
"seq1356",1,0,0,0,0,0,0,0,0,0
"seq1357",1,0,0,0,0,0,0,0,0,0
"seq1358",8,0,0,0,0,0,0,0,0,0
"seq1359",1,0,0,0,0,0,0,0,0,0
"seq136",0,0,0,0,1,0,0,0,0,0
"seq1360",1,0,0,0,0,0,0,0,0,0
"seq1361",1,0,0,0,0,0,0,0,0,0
"seq1362",1,0,0,0,0,0,0,0,0,0
"seq1363",1,0,0,0,0,0,0,0,0,0
"seq1364",1,0,0,0,0,0,0,0,0,0
"seq1365",1,0,0,0,0,0,0,0,0,0
"seq1366",1,0,0,0,0,0,0,0,0,0
"seq1367",1,0,0,0,0,0,0,0,0,0
"seq1368",1,0,0,0,0,0,0,0,0,0
"seq1369",0,0,0,0,1,0,0,0,0,0
"seq137",0,0,0,0,3,0,0,0,0,0
"seq1370",2,0,0,0,0,0,0,0,0,0
"seq1371",1,0,0,0,0,0,0,0,0,0
"seq1372",4,0,0,0,0,0,0,0,0,0
"seq1373",1,0,0,0,0,0,0,0,0,0
"seq1374",1,0,0,0,0,0,0,0,0,0
"seq1375",1,0,0,0,0,0,0,0,0,0
"seq1376",1,0,0,0,0,0,0,0,0,0
